Event	id_r	id_phi	id_eta	phi	phiB	quality	bx	pt
70	3	12	1	776	-4	5	0	155.485
71	1	9	1	1210	-15	6	0	41.4038
71	2	10	1	-950	-13	5	0	41.4038
71	4	10	2	-966	0	6	0	41.4038
72	2	2	0	-811	-3	6	0	178.776
72	3	2	0	-816	-2	6	0	178.776
72	4	2	0	-818	1	6	0	178.776
73	4	8	-2	307	-13	3	0	136.331
73	1	8	-1	320	-6	6	0	136.331
73	2	8	-1	314	-5	6	0	136.331
74	1	7	2	522	-14	3	0	84.7057
74	2	7	2	516	-2	5	0	84.7057
74	3	7	2	510	-1	6	0	84.7057
75	1	4	0	702	-14	5	0	46.1189
75	2	4	0	682	-12	5	0	46.1189
75	3	4	0	655	-246	4	0	46.1189
75	4	4	0	659	-6	2	0	46.1189
76	3	4	-2	-519	-62	2	0	104.084
76	4	4	-2	-513	-4	6	0	104.084
76	1	4	-1	-495	-7	5	0	104.084
76	2	4	-1	-503	-14	2	0	104.084
77	1	10	0	19	-22	6	0	29.8507
77	2	10	0	-5	-14	6	0	29.8507
78	1	10	0	-360	-37	6	0	18.8937
78	2	10	0	-409	-31	6	0	18.8937
78	3	10	0	-458	-138	3	0	18.8937
79	3	2	2	1044	-2	5	0	83.0024
79	2	3	2	-1093	-6	6	0	83.0024
80	1	2	0	1148	-9	6	0	80.82
80	2	3	0	-1005	-1	2	0	80.82
81	3	8	-2	-398	74	3	0	181.993
81	4	8	-2	-447	-1	5	0	181.993
81	1	8	-1	-439	-2	6	0	181.993
82	1	9	-1	529	-7	6	0	183.797
82	2	9	-1	525	-3	6	0	183.797
82	3	9	-1	518	-165	3	0	183.797
83	1	8	1	1159	-8	6	0	143.995
83	2	9	1	-991	-5	5	0	143.995
84	3	9	-1	-630	2	2	0	169.018
85	1	10	0	156	-5	6	0	167.681
85	2	10	0	108	113	3	0	167.681
85	3	10	0	147	-1	6	0	167.681
86	1	4	0	977	-5	6	0	151.086
87	2	12	-2	88	-6	6	0	95.8025
87	3	12	-2	82	-5	5	0	95.8025
87	4	12	-2	80	41	2	0	95.8025
88	1	12	1	1229	-6	6	0	113.027
88	4	1	2	-928	-10	3	0	113.027
89	1	5	0	614	-5	5	0	163.679
89	2	5	0	609	25	3	0	163.679
89	4	5	0	604	-2	6	0	163.679
90	1	6	1	883	-3	4	0	127.239
90	3	6	1	872	-2	6	0	127.239
91	1	10	1	315	-39	2	0	87.4112
91	2	10	2	304	-4	6	0	87.4112
91	3	10	2	297	-3	6	0	87.4112
91	4	10	2	294	-36	2	0	87.4112
92	1	5	1	740	-5	6	0	138.49
92	3	5	2	730	-15	3	0	138.49
93	3	2	-2	-513	-1	6	0	139.458
93	4	2	-2	-514	-1	6	0	139.458
93	1	2	-1	-504	12	3	0	139.458
94	1	5	-1	778	-15	6	0	43.768
94	2	5	-1	757	-12	6	0	43.768
94	3	5	-1	742	-8	6	0	43.768
94	4	5	-1	735	-4	6	0	43.768
