Event,n_Primitive,1dtPrimitive.id_r,2dtPrimitive.id_r,3dtPrimitive.id_r,4dtPrimitive.id_r,1dtPrimitive.id_eta,2dtPrimitive.id_eta,3dtPrimitive.id_eta,4dtPrimitive.id_eta,1dtPrimitive.id_phi,2dtPrimitive.id_phi,3dtPrimitive.id_phi,4dtPrimitive.id_phi,1dtPrimitive.phiGlb,2dtPrimitive.phiGlb,3dtPrimitive.phiGlb,4dtPrimitive.phiGlb,1dtPrimitive.phiB,2dtPrimitive.phiB,3dtPrimitive.phiB,4dtPrimitive.phiB,delta_phi12,delta_phi13,delta_phi14,delta_phi23,delta_phi24,delta_phi34,genParticle.pt
386.0,2.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,11.0,11.0,0.0,0.0,5.193995475769043,5.192530632019043,0.0,0.0,-4.0,-3.0,0.0,0.0,0.00146484375,5.193995475769043,5.193995475769043,5.192530632019043,5.192530632019043,0.0,156.4149627685547
387.0,3.0,1.0,1.0,1.0,0.0,-2.0,-2.0,-2.0,0.0,1.0,1.0,1.0,0.0,-0.083984375,-0.123291015625,-0.14111328125,0.0,-150.0,-73.0,-29.0,0.0,0.039306640625,0.05712890625,0.083984375,0.017822265625,0.123291015625,0.14111328125,6.050200939178468
388.0,3.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,0.0,5.0,5.0,5.0,0.0,2.0416607856750493,2.0394635200500493,2.0392193794250493,0.0,-7.0,0.0,-3.0,0.0,0.002197265625,0.00244140625,2.0416607856750493,0.000244140625,2.0394635200500493,2.0392193794250493,143.57040405273438
389.0,3.0,1.0,1.0,1.0,0.0,-1.0,-1.0,-1.0,0.0,9.0,9.0,9.0,0.0,4.1648645401000985,4.1633996963500985,4.1629114151000985,0.0,-2.0,-1.0,-1.0,0.0,0.00146484375,0.001953125,4.1648645401000985,0.00048828125,4.1633996963500985,4.1629114151000985,143.68807983398438
390.0,3.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,0.0,2.0,2.0,3.0,0.0,0.7538233995437622,0.7421046495437622,0.7422659397125244,0.0,-41.0,-2.0,1.0,0.0,0.01171875,0.011557459831237793,0.7538233995437622,0.00016129016876220703,0.7421046495437622,0.7422659397125244,17.514177322387695
391.0,3.0,1.0,1.0,1.0,0.0,-1.0,-1.0,-2.0,0.0,2.0,2.0,2.0,0.0,0.4862452745437622,0.4835597276687622,0.4798976182937622,0.0,-9.0,-8.0,22.0,0.0,0.002685546875,0.00634765625,0.4862452745437622,0.003662109375,0.4835597276687622,0.4798976182937622,73.23091125488281
392.0,3.0,1.0,1.0,1.0,0.0,-1.0,-1.0,-1.0,0.0,7.0,7.0,6.0,0.0,2.956045866012573,2.954336881637573,2.946362972259521,0.0,-6.0,-1.0,5.0,0.0,0.001708984375,0.009682893753051758,2.956045866012573,0.007973909378051758,2.954336881637573,2.946362972259521,69.45094299316406
393.0,3.0,1.0,1.0,1.0,0.0,2.0,2.0,2.0,0.0,10.0,11.0,10.0,0.0,4.96190071105957,4.961329460144043,4.96043586730957,0.0,-1.0,-9.0,-4.0,0.0,0.0005712509155273438,0.00146484375,4.96190071105957,0.0008935928344726562,4.961329460144043,4.96043586730957,157.7945098876953
394.0,3.0,1.0,1.0,1.0,0.0,-1.0,-1.0,-1.0,0.0,8.0,7.0,7.0,0.0,3.4317929744720463,3.411368131637573,3.410879850387573,0.0,-86.0,-12.0,12.0,0.0,0.020424842834473544,0.020913124084473544,3.4317929744720463,0.00048828125,3.411368131637573,3.410879850387573,6.198439121246338
395.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,8.0,0.0,3.9088437557220463,3.9061582088470463,3.9059140682220463,0.0,-7.0,-3.0,3.0,0.0,0.002685546875,0.0029296875,3.9088437557220463,0.000244140625,3.9061582088470463,3.9059140682220463,123.33861541748048
