Event,dtPrimitive.id_r,dtPrimitive.id_eta,dtPrimitive.id_phi,dtPrimitive.bxTrackFinder(),dtPrimitive.phiGlb(),dtPrimitive.bx
86,3,0,10,0,4.74827766418457,0
87,1,0,4,0,1.8093217611312866,0
88,2,-2,12,0,5.781070709228516,0
88,3,-2,12,0,5.779605865478516,0
88,4,-2,12,0,5.779117584228516,0
89,1,1,12,0,6.059635162353516,0
89,4,2,1,0,-0.2265625,0
89,4,2,1,1,-0.225830078125,1
90,1,0,5,0,2.244297504425049,0
90,2,0,5,0,2.243076801300049,0
90,3,0,5,-3,2.241611957550049,-3
90,4,0,5,0,2.241856098175049,0
91,1,1,6,0,2.8335700035095215,0
91,1,1,6,1,2.8338141441345215,1
91,3,1,6,0,2.8308844566345215,0
92,1,1,10,0,4.78929328918457,0
92,2,2,10,0,4.78660774230957,0
92,3,2,10,0,4.78489875793457,0
92,4,2,10,0,4.78416633605957,0
93,1,1,5,0,2.275059223175049,0
93,2,1,5,-7,2.274326801300049,-7
93,2,1,5,-5,2.274570941925049,-5
93,2,1,5,-3,2.266758441925049,-3
93,2,1,5,-1,2.262852191925049,-1
93,2,1,5,-3,2.276279926300049,-2
93,3,2,5,0,2.272617816925049,0
94,3,-2,2,0,0.3983546495437622,0
94,4,-2,2,0,0.3981105089187622,0
94,1,-1,2,-1,0.4010401964187622,-1
94,1,-1,2,0,0.4005519151687622,0
94,2,-1,2,-5,0.4005519151687622,-5
95,1,-1,5,0,2.284336566925049,0
95,2,-1,5,0,2.279209613800049,0
95,3,-1,5,0,2.275547504425049,0
95,4,-1,5,0,2.273838520050049,0
96,2,-1,12,0,5.589908599853516,0
96,3,-1,12,0,5.588932037353516,0
96,4,-1,12,0,5.588443756103516,0
97,4,-1,6,0,2.6433844566345215,0
97,1,0,6,0,2.6487555503845215,0
97,2,0,6,0,2.6463141441345215,0
98,3,-1,10,0,4.73436164855957,0
98,4,-1,10,0,4.73338508605957,0
98,1,0,10,0,4.74070930480957,0
99,1,-2,5,0,2.159580707550049,0
99,2,-2,5,0,2.158360004425049,0
99,3,-2,5,0,2.157383441925049,0
100,1,-1,1,0,0.11474609375,0
100,2,-1,1,0,0.11328125,0
100,3,-1,1,0,0.1123046875,0
100,4,-1,1,0,0.112060546875,0
101,1,0,9,0,4.045235633850098,0
101,2,0,9,0,4.041085243225098,0
101,3,0,9,0,4.038399696350098,0
102,3,-2,10,0,4.72899055480957,0
102,1,-1,10,0,4.73802375793457,0
103,1,0,9,0,4.197091102600098,0
103,2,0,9,0,4.196114540100098,0
103,4,1,9,0,4.195382118225098,0
104,1,-1,2,0,0.3751612901687622,0
104,2,-1,2,0,0.3688136339187622,0
104,3,-1,2,0,0.3653956651687622,0
104,4,-1,2,0,0.3644191026687622,0
105,2,0,3,0,0.8560354709625244,0
105,3,0,3,-1,0.8540823459625244,-1
105,3,0,3,0,0.8540823459625244,0
106,1,0,9,0,4.105294227600098,0
106,2,0,9,0,4.104317665100098,0
106,3,0,9,-1,4.103585243225098,-1
106,3,0,9,0,4.103341102600098,0
106,4,0,9,0,4.103096961975098,0
107,1,1,10,0,4.72337532043457,0
107,2,1,10,0,4.71824836730957,0
107,3,2,10,0,4.71434211730957,0
108,1,2,8,0,3.741607427597046,0
108,2,2,8,-2,3.740875005722046,-2
108,2,2,8,0,3.739898443222046,0
108,3,2,8,0,3.738677740097046,0
109,4,-2,2,0,0.178872212767601,0
109,1,-1,1,0,0.185302734375,0
109,2,-1,1,0,0.182373046875,0
109,3,-1,1,0,0.18017578125,0
110,1,-2,8,0,3.933746099472046,0
110,2,-2,9,0,3.9331750869750977,0
111,1,0,2,0,0.7089015245437622,0
111,2,0,2,-1,0.7098780870437622,-1
111,2,0,2,0,0.7054835557937622,0
111,3,0,2,0,0.7030421495437622,0
111,4,0,3,0,0.7022268772125244,0
112,1,0,9,0,4.058907508850098,0
112,2,0,9,-2,4.057442665100098,-2
112,2,0,9,0,4.057930946350098,0
112,3,0,9,0,4.056954383850098,0
113,1,-1,8,0,3.661529302597046,0
113,2,-1,8,0,3.657867193222046,0
113,3,-1,8,0,3.654693365097046,0
113,4,-1,8,-7,3.654205083847046,-7
113,4,-1,8,0,3.653228521347046,0
114,3,-2,8,0,3.462798833847046,0
