Event,dtPrimitive.id_r,dtPrimitive.id_eta,dtPrimitive.id_phi,dtPrimitive.phiGlb(),dtPrimitive.phiB,dtPrimitive.quality,genParticle.pt
52,1,0,12,5.723209381103516,-4.0,6,179.2193145751953
52,2,0,12,5.721500396728516,-6.0,3,179.2193145751953
52,3,0,12,5.720767974853516,-32.0,2,179.2193145751953
52,4,0,12,5.720279693603516,-2.0,6,179.2193145751953
53,1,1,11,5.139552116394043,-33.0,6,21.342565536499023
53,2,1,11,5.129542350769043,-22.0,6,21.342565536499023
53,3,1,11,5.122706413269043,-13.0,6,21.342565536499023
53,4,1,11,5.119532585144043,-3.0,5,21.342565536499023
54,3,-2,11,5.358302116394043,-3.0,6,72.13408660888672
54,4,-2,11,5.357081413269043,-3.0,6,72.13408660888672
54,1,-1,11,5.362940788269043,-11.0,6,72.13408660888672
55,2,2,12,5.740299224853516,-2.0,6,192.82960510253906
55,3,2,12,5.739566802978516,-1.0,6,192.82960510253906
56,1,0,6,2.5747809410095215,-9.0,6,69.52007293701172
56,2,0,6,2.5718512535095215,-8.0,6,69.52007293701172
56,3,0,6,2.5698981285095215,-4.0,6,69.52007293701172
56,4,0,6,2.5689215660095215,-3.0,6,69.52007293701172
57,4,-1,5,2.131260395050049,4.0,6,66.0009765625
58,1,1,10,4.97923469543457,-5.0,6,185.3242950439453
58,3,1,10,4.97752571105957,-9.0,2,185.3242950439453
58,4,1,10,4.96727180480957,-206.0,3,185.3242950439453
58,2,1,11,4.978175163269043,-2.0,6,185.3242950439453
59,1,1,1,-0.033203125,-5.0,6,121.5069580078125
59,2,1,1,-0.034912109375,-3.0,6,121.5069580078125
59,3,1,1,-0.0361328125,-4.0,5,121.5069580078125
59,4,1,1,-0.036865234375,-4.0,6,121.5069580078125
60,3,-2,6,2.7359137535095215,-9.0,2,6.286252975463867
60,1,-1,6,2.7896246910095215,-143.0,6,6.286252975463867
60,2,-1,6,2.7520270347595215,-85.0,6,6.286252975463867
61,3,-2,1,0.04541015625,-15.0,6,25.05266571044922
61,4,-2,1,0.04248046875,-4.0,6,25.05266571044922
61,1,-1,1,0.061767578125,-31.0,5,25.05266571044922
61,2,-1,1,0.053466796875,-27.0,2,25.05266571044922
62,1,0,2,0.6156398057937622,-98.0,6,8.174196243286133
62,2,0,2,0.5870753526687622,-71.0,6,8.174196243286133
62,3,0,2,0.5675441026687622,-22.0,3,8.174196243286133
62,4,0,2,0.5663233995437622,4.0,4,8.174196243286133
63,2,1,5,2.078770160675049,-43.0,3,23.092981338500977
63,3,1,5,2.070713520050049,-19.0,6,23.092981338500977
63,4,1,5,2.066074848175049,-11.0,6,23.092981338500977
64,4,-2,4,1.9592241048812866,-3.0,6,84.63740539550781
64,3,-2,5,1.9603619575500488,-3.0,6,84.63740539550781
64,4,-2,5,1.9596295356750488,-2.0,5,84.63740539550781
64,1,-1,5,1.9637799263000488,-7.0,6,84.63740539550781
64,2,-1,5,1.9620709419250488,-9.0,2,84.63740539550781
65,1,1,5,2.059238910675049,-7.0,6,166.55108642578125
65,2,1,5,2.057529926300049,-4.0,6,166.55108642578125
65,3,1,5,2.056553363800049,-3.0,6,166.55108642578125
65,4,2,5,2.056065082550049,-6.0,3,166.55108642578125
66,2,2,7,2.9304111003875732,-1.0,6,188.96902465820312
67,2,-2,2,0.4720851182937622,1.0,5,138.07643127441406
67,1,-1,2,0.4740382432937622,25.0,2,138.07643127441406
68,1,0,6,2.6128668785095215,-6.0,6,139.54608154296875
68,2,0,6,2.6109137535095215,3.0,3,139.54608154296875
69,1,0,7,3.1567294597625732,-2.0,6,143.6573944091797
69,2,0,7,3.1555087566375732,-2.0,6,143.6573944091797
69,3,0,7,3.1547763347625732,-1.0,6,143.6573944091797
69,4,0,7,3.1542880535125732,-1.0,6,143.6573944091797
70,2,-2,2,0.3822413682937622,-1.0,6,160.454345703125
70,3,-2,2,0.3793116807937622,-53.0,5,160.454345703125
71,4,1,1,-0.33447265625,-2.0,6,155.48451232910156
71,1,1,12,5.951480865478516,-8.0,6,155.48451232910156
71,2,1,12,5.950016021728516,-4.0,5,155.48451232910156
71,3,1,12,5.949039459228516,-4.0,5,155.48451232910156
72,1,1,9,4.484200477600098,-15.0,6,41.40383529663086
72,2,1,10,4.48045539855957,-13.0,5,41.40383529663086
72,4,2,10,4.47654914855957,0.0,6,41.40383529663086
73,2,0,2,0.3256007432937622,-3.0,6,178.77618408203125
73,3,0,2,0.3243800401687622,-2.0,6,178.77618408203125
73,4,0,2,0.3238917589187622,1.0,6,178.77618408203125
74,4,-2,8,3.740142583847046,-13.0,3,136.3313446044922
74,1,-1,8,3.743316411972046,-6.0,6,136.3313446044922
74,2,-1,8,3.741851568222046,-5.0,6,136.3313446044922
75,1,2,7,3.2690341472625732,-14.0,3,84.70572662353516
75,2,2,7,3.2675693035125732,-2.0,5,84.70572662353516
75,3,2,7,3.2661044597625732,-1.0,6,84.70572662353516
76,1,0,4,1.7421830892562866,-14.0,5,46.11885452270508
76,2,0,4,1.7373002767562866,-12.0,5,46.11885452270508
76,3,0,4,1.7307084798812866,-246.0,4,46.11885452270508
76,4,0,4,1.7316850423812866,-6.0,2,46.11885452270508
77,3,-2,4,1.4440873861312866,-62.0,2,104.08440399169922
77,4,-2,4,1.4455522298812866,-4.0,6,104.08440399169922
77,1,-1,4,1.4499467611312866,-7.0,5,104.08440399169922
77,2,-1,4,1.4479936361312866,-14.0,2,104.08440399169922
78,1,0,10,4.71702766418457,-22.0,6,29.85072898864746
78,2,0,10,4.71116828918457,-14.0,6,29.85072898864746
79,1,0,10,4.62449836730957,-37.0,6,18.89373016357422
79,2,0,10,4.61253547668457,-31.0,6,18.89373016357422
79,3,0,10,4.60057258605957,-138.0,3,18.89373016357422
80,3,2,2,0.7784816026687622,-2.0,5,83.00235748291016
80,2,2,3,0.7803518772125244,-6.0,6,83.00235748291016
81,1,0,2,0.8038722276687622,-9.0,6,80.81996154785156
81,2,0,3,0.8018362522125244,-1.0,2,80.81996154785156
82,3,-2,8,3.568023443222046,74.0,3,181.99293518066406
82,4,-2,8,3.556060552597046,-1.0,5,181.99293518066406
82,1,-1,8,3.558013677597046,-2.0,6,181.99293518066406
83,1,-1,9,4.317940711975098,-7.0,6,183.79653930664062
83,2,-1,9,4.316964149475098,-3.0,6,183.79653930664062
83,3,-1,9,4.315255165100098,-165.0,3,183.79653930664062
84,1,1,8,3.948150396347046,-8.0,6,143.99481201171875
84,2,1,9,3.9468469619750977,-5.0,5,143.99481201171875
85,3,-1,9,4.034981727600098,2.0,2,169.01815795898438
86,1,0,10,4.75047492980957,-5.0,6,167.68116760253906
86,2,0,10,4.73875617980957,113.0,3,167.68116760253906
86,3,0,10,4.74827766418457,-1.0,6,167.68116760253906
87,1,0,4,1.8093217611312866,-5.0,6,151.08587646484375
88,2,-2,12,5.781070709228516,-6.0,6,95.80248260498047
88,3,-2,12,5.779605865478516,-5.0,5,95.80248260498047
88,4,-2,12,5.779117584228516,41.0,2,95.80248260498047
89,1,1,12,6.059635162353516,-6.0,6,113.02652740478516
89,4,2,1,-0.2265625,-10.0,3,113.02652740478516
90,1,0,5,2.244297504425049,-5.0,5,163.67916870117188
90,2,0,5,2.243076801300049,25.0,3,163.67916870117188
90,4,0,5,2.241856098175049,-2.0,6,163.67916870117188
